ID,Sand %,Clay %,Silt %,pH,N,P,K
381,34,36,30,7.68,0.79,3.12,138
382,54,28,18,7.45,15.41,6.91,225
383,16,50,34,7.6,13.17,3.68,473
384,20,58,22,7.67,0.35,3.69,273
385,22,50,28,7.54,9.25,2.44,709
386,18,44,38,7.6,4.67,3.36,380
387,18,52,30,7.54,2.6,3,501
388,24,50,26,7.51,8.45,3.73,529
389,24,46,30,7.61,7.79,6.26,428
390,26,42,32,7.7,3.83,9.85,361
391,30,40,30,7.72,14.53,8.12,373
392,44,28,28,7.6,10.57,13.87,283
393,16,56,28,6.81,0.92,14.71,254
394,24,50,26,6.46,5.5,16.04,491
395,48,18,34,7.24,8.72,23.26,171
396,44,28,28,6.06,17.39,27.88,211
397,30,46,24,5.71,12.59,25.21,415
398,18,48,34,7.48,8.01,7.24,370
399,42,26,32,6.43,3.74,12.29,171
400,28,44,28,7.58,9.73,4.64,338
401,18,56,26,6.64,13.17,13.75,411
402,20,50,30,7.16,5.2,7.96,192
403,34,30,36,7.73,12.55,5.55,277
404,32,28,40,7.66,0.31,5.32,117
405,24,44,32,7.53,14.75,6.07,172
406,34,38,28,7.66,7.4,5.62,242
407,24,38,38,7.69,7.09,4.41,291
408,36,30,34,7.64,0.84,4.79,124
409,24,42,34,7.7,6.47,3.82,194
410,24,54,22,7.52,7.97,3.7,325
411,46,28,26,7.51,4.27,3.84,120
412,42,22,36,7.66,8.23,3.11,165
413,28,44,28,6.18,12.72,9.61,264
414,36,40,24,5.9,3.74,12.07,142
415,28,44,28,7.51,6.43,4.51,437
416,34,38,28,7.69,3.13,7.18,247
417,26,42,32,7.67,11.89,2.96,182
418,22,52,26,7.48,10,3.99,246
419,42,22,36,7.81,3.79,3.87,118
420,24,46,30,6.98,5.37,8.73,185
421,52,26,22,6.15,3.74,7.52,122
422,42,30,28,7.28,10.48,7.46,169
423,30,32,38,7.69,7.93,8.28,267
424,40,28,32,7.71,12.15,3.96,123
425,28,28,44,7.68,12.59,4.34,193
426,22,34,44,7.71,14.49,3.21,140
427,24,30,46,7.75,11.01,7.75,124
428,18,56,26,6.89,5.72,9.24,297
429,20,54,26,7.64,10.35,14.85,354
430,36,30,34,7.64,9.33,5.55,210
431,30,44,26,7.64,4.76,4.66,300
432,22,52,26,7.48,10.04,2.44,406
433,26,48,26,6.42,1.94,7.39,328
434,30,40,30,7.74,5.68,4.52,355
435,28,44,28,7.49,5.64,5.2,253
436,24,46,30,7.12,7.49,3.73,335
437,28,28,44,7.78,6.16,5.96,133
438,36,26,38,7.7,14.66,3.98,165
439,32,42,26,7,13.56,6,212
440,32,36,32,7.61,5.55,4.63,207
441,40,32,28,7.05,10.39,10.26,251
442,20,50,30,7.29,19.55,4.85,312
443,30,38,32,7.55,8.54,8.69,248
444,40,34,26,7.63,17.08,5.01,295
445,26,50,24,7.58,7.93,6.44,530
446,26,46,28,7.37,11.1,7.64,283
447,54,22,24,4.78,11.58,21.09,122
448,42,36,22,6.65,12.86,13.59,174
